learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,n_estimators,feature_set,target,training_time_seconds,best_iteration,mae,rmse,r2,mae_eur,rmse_eur
0.03,8,3,0.9,0.7,0.0,1.5,1500,tabular_spatial,log_price,11.560209699906409,933,0.2456161229983828,0.4327074821305699,0.6088770655386746,72.94618745599338,602.6724943366601
0.05,5,3,0.7,0.9,0.1,1.5,1500,tabular_spatial,log_price,50.042791299987584,849,0.251390407944443,0.4329090901946652,0.6085125148400716,73.52322660164504,602.2590341274156
0.01,6,1,0.9,0.9,0.0,1.0,3500,tabular_spatial,log_price,26.081236499827355,2967,0.2492232366737185,0.43339478835724365,0.6076335708675114,73.32326061855841,602.5001495239067
0.03,6,1,0.9,0.7,0.1,1.5,2500,tabular_spatial,log_price,8.314914900343865,913,0.24991385790456158,0.43341943435103625,0.6075889439555253,73.40046760574518,602.5104903186457
0.03,5,5,0.9,0.8,0.1,1.0,2500,tabular_spatial,log_price,10.9223354998976,1350,0.2509141454339927,0.4334395411558838,0.6075525343489663,73.3881885351077,602.0053208865235
0.03,5,3,0.8,0.8,0.1,1.5,2500,tabular_spatial,log_price,7.285971999634057,955,0.251325040692783,0.43366743239443617,0.6071397485188452,73.58760289059086,602.3362077261022
0.01,5,5,0.9,0.8,0.5,0.8,3500,tabular_spatial,log_price,24.631226500030607,3268,0.2511964656160155,0.43405314979210113,0.6064405933061812,73.56301586771046,602.270809143093
0.01,6,1,0.7,0.9,0.0,1.5,2500,tabular_spatial,log_price,23.09891920024529,2496,0.24943331634120275,0.4341592459392339,0.6062481733692777,73.34524041611203,602.663662087795
0.01,4,5,0.7,0.7,0.0,0.8,3500,tabular_spatial,log_price,22.38877379987389,3487,0.2533565037273708,0.43416385947682773,0.6062398050181546,73.70833280772997,602.0262683366507
0.03,4,5,0.9,0.8,0.5,0.8,3500,tabular_spatial,log_price,10.472475100308657,1423,0.2527625178600628,0.434342537198657,0.6059156386906424,73.76603111735247,601.9412201554419
0.05,6,1,0.7,0.9,0.1,1.5,1500,tabular_spatial,log_price,6.900403799954802,542,0.25148262518376224,0.4344779817549114,0.6056698193232148,73.45937259247076,602.8206300174137
0.03,5,1,0.9,0.7,0.0,1.0,2500,tabular_spatial,log_price,8.832605199888349,1100,0.25191204625972397,0.43448184926625627,0.6056627990216152,73.68178042413736,602.3933940088225
0.05,4,3,0.8,0.9,0.1,1.0,3500,tabular_spatial,log_price,5.869198699947447,755,0.2548398961678756,0.43452782545990226,0.6055793383072248,73.9663319616646,601.8861413912018
0.03,6,1,0.9,0.7,0.5,1.0,1500,tabular_spatial,log_price,10.086022899951786,865,0.24932042971423646,0.43489170274766553,0.6049184793014883,73.24533529532415,602.5708427811202
0.03,4,3,0.8,0.7,0.1,1.5,3500,tabular_spatial,log_price,19.289789899718016,1178,0.2527308491151149,0.43499769104943825,0.6047258836654927,73.77356587240847,602.3151676666037
0.01,4,3,0.9,0.8,0.0,0.8,3500,tabular_spatial,log_price,23.95974999992177,3468,0.2545948843365512,0.4356258323322102,0.603583499414541,73.99758795894489,602.1561391732905
0.05,5,3,0.8,0.8,0.0,0.8,1500,tabular_spatial,log_price,5.566346100065857,697,0.2529292890605806,0.4358173476998411,0.6032348674710983,73.7326868562705,602.4502226277463
0.03,4,5,0.9,0.7,0.5,0.8,1500,tabular_spatial,log_price,7.3020277000032365,1085,0.25507840113267344,0.4359980759038317,0.602905731799338,74.07263946919048,601.9850303962293
0.05,5,3,0.8,0.8,0.1,1.0,1500,tabular_spatial,log_price,5.954536600038409,683,0.25336581021230664,0.43602631976666073,0.602854282768119,73.71081146708391,602.5115368915309
