learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,n_estimators,feature_set,target,training_time_seconds,best_iteration,mae,rmse,r2,mae_eur,rmse_eur
0.03,4,5,0.9,0.8,0.5,0.8,3500,tabular,log_price,10.85307740001008,1736,0.25136596568894054,0.4338289689382249,0.6068470214113666,73.45307157108775,601.7991749049986
0.05,4,3,0.8,0.9,0.1,1.0,3500,tabular,log_price,6.218816000036895,955,0.25132438240452126,0.4340315433722432,0.6064797737528226,73.46841426419796,602.4586951344995
0.05,5,3,0.8,0.8,0.1,1.0,1500,tabular,log_price,6.213039600290358,883,0.24916048502329743,0.43431710462443707,0.6059617879183948,73.33045922174539,602.4667366606345
0.03,4,5,0.8,0.8,0.1,1.5,3500,tabular,log_price,10.156447499990463,1555,0.25206486581534165,0.4343518754886338,0.6058986930162653,73.59124901193427,602.1000914524606
0.03,4,3,0.8,0.7,0.1,1.5,3500,tabular,log_price,7.914672499988228,1273,0.25230656018771497,0.4349023923088613,0.6048990569948796,73.54570704155974,602.2149325492081
0.05,5,3,0.8,0.8,0.0,0.8,1500,tabular,log_price,7.213987400289625,846,0.2499476500792112,0.4355649157027845,0.6036943590874748,73.24922083457902,602.6449079852786
0.05,5,3,0.7,0.9,0.1,1.5,1500,tabular,log_price,4.7763253999874,628,0.2509698225502793,0.43594864260953087,0.602995771485783,73.4885122719763,602.4644819156764
0.03,5,1,0.7,0.7,0.1,1.0,1500,tabular,log_price,7.3982291999273,1002,0.25054925843635734,0.4360596313392374,0.6027935981115313,73.43710758649091,602.6547347027794
0.05,6,1,0.7,0.9,0.1,1.5,1500,tabular,log_price,6.290437999647111,659,0.24765923218654792,0.43609390927355457,0.602731148166072,73.01027731017656,602.7184859644151
0.03,5,5,0.9,0.8,0.1,1.0,2500,tabular,log_price,8.391249100212008,1168,0.250961770991204,0.43655138736603216,0.6018972125412442,73.41468166420772,602.3130062178398
0.03,5,1,0.9,0.7,0.0,1.0,2500,tabular,log_price,10.049469399731606,1484,0.24894299181093824,0.4365980879652929,0.6018120329554679,73.17508140417347,602.7691939380028
0.03,4,5,0.9,0.7,0.5,0.8,1500,tabular,log_price,8.597308200318366,1388,0.2538461215034065,0.43669248534580124,0.6016398289741082,73.78878217248283,602.1236321861688
0.03,5,3,0.8,0.8,0.1,1.5,2500,tabular,log_price,6.909967900253832,949,0.25110379984846004,0.43675745868102933,0.6015212800396114,73.49582420163918,602.7964528379996
0.05,4,1,0.7,0.8,0.5,1.0,2500,tabular,log_price,5.621395400259644,868,0.25401552957507834,0.43724763180436227,0.6006263523825051,73.8323282652101,602.2202265218884
0.01,4,3,0.9,0.8,0.0,0.8,3500,tabular,log_price,20.950253899674863,3497,0.2549968286524397,0.4372717846529084,0.6005822296614768,73.90758678901865,602.4343379617434
0.03,8,3,0.9,0.7,0.0,1.5,1500,tabular,log_price,8.828525500372052,800,0.2470453651746083,0.4376693734349712,0.5998555593086561,73.15759814243744,603.0447603796256
0.01,6,1,0.9,0.9,0.0,1.0,3500,tabular,log_price,25.54009519983083,3103,0.2482854220364208,0.4377697320430883,0.5996720301622005,73.17477142786709,602.9896376641063
0.01,5,5,0.9,0.8,0.5,0.8,3500,tabular,log_price,23.290028099901974,3211,0.2514422522398784,0.4378115954830213,0.5995954606507906,73.52515613687096,602.7208881824317
0.03,6,1,0.9,0.7,0.5,1.0,1500,tabular,log_price,6.691978599876165,828,0.24940585668482085,0.43813040176649964,0.599012114018968,73.34804887700871,602.869069076197
0.01,4,5,0.7,0.7,0.0,0.8,3500,tabular,log_price,14.668502499815077,2448,0.25727630193186635,0.4386744344580958,0.5980156711411684,74.26441846115722,602.2902911318001
0.03,6,1,0.9,0.7,0.1,1.5,2500,tabular,log_price,6.892393199726939,872,0.24982520122984467,0.43885776421374756,0.5976796083011338,73.34696446506865,603.1281975220726
0.03,6,1,0.8,0.8,0.5,1.5,1500,tabular,log_price,7.808057499583811,865,0.25039982083312456,0.4390459377219039,0.5973345203190681,73.55223375578952,603.1044548424427
0.01,4,3,0.9,0.7,0.0,1.0,2500,tabular,log_price,15.735273299738765,2498,0.2575156723313375,0.4391235382811965,0.5971921669788967,74.30167741576163,602.5040247587375
0.01,6,1,0.7,0.9,0.0,1.5,2500,tabular,log_price,17.092302599921823,1795,0.2509903552457312,0.4394406071809922,0.5966102626417227,73.5669782430195,603.1249985220887
